medal_date,medal_type,medal_code,name,gender,country,country_code,nationality,discipline,event,code
7/27/2024,Gold Medal,1,EVENEPOEL Remco,Male,Belgium,GER,Belgium,Cycling Road,Men's Individual Time Trial,1903136
7/27/2024,Silver Medal,2,GANNA Filippo,Male,Italy,ITA,Italy,Cycling Road,Men's Individual Time Trial,1923520
7/27/2024,Bronze Medal,3,van AERT Wout,Male,Belgium,BEL,Belgium,Cycling Road,Men's Individual Time Trial,1903147
7/27/2024,Gold Medal,1,BROWN Grace,Female,Australia,AUS,Australia,Cycling Road,Women's Individual Time Trial,1940173
7/27/2024,Silver Medal,2,HENDERSON Anna,Female,Great Britain,GBR,Great Britain,Cycling Road,Women's Individual Time Trial,1912525
7/27/2024,Bronze Medal,3,DYGERT Chloe,Female,United States,USA,United States,Cycling Road,Women's Individual Time Trial,1955079
7/27/2024,Gold Medal,1,OH Sanguk,Male,Korea,KOR,Korea,Fencing,Men's Sabre Individual,1927149
7/27/2024,Silver Medal,2,FERJANI Fares,Male,Tunisia,TUN,Tunisia,Fencing,Men's Sabre Individual,1937783
7/27/2024,Bronze Medal,3,SAMELE Luigi,Male,Italy,ITA,Italy,Fencing,Men's Sabre Individual,1924595
7/27/2024,Gold Medal,1,KONG Man Wai Vivian,Female,"Hong Kong, China",HKG,"Hong Kong, China",Fencing,Women's Épée Individual,1963262
7/27/2024,Silver Medal,2,MALLO-BRETON Auriane,Female,France,FRA,France,Fencing,Women's Épée Individual,1916183
7/27/2024,Bronze Medal,3,MUHARI Eszter,Female,Hungary,HUN,Hungary,Fencing,Women's Épée Individual,1946375
7/27/2024,Gold Medal,1,SMETOV Yeldos,Male,Kazakhstan,KAZ,Kazakhstan,Judo,Men -60 kg,1935408
7/27/2024,Silver Medal,2,MKHEIDZE Luka,Male,France,FRA,France,Judo,Men -60 kg,1891304
7/27/2024,Bronze Medal,3,NAGAYAMA Ryuju,Male,Japan,JPN,Japan,Judo,Men -60 kg,1896752
7/27/2024,Bronze Medal,3,GARRIGOS Francisco,Male,Spain,ESP,Spain,Judo,Men -60 kg,1563544
7/27/2024,Gold Medal,1,TSUNODA Natsumi,Female,Japan,JPN,Japan,Judo,Women -48 kg,1896735
7/27/2024,Silver Medal,2,BAVUUDORJ Baasankhuu,Female,Mongolia,MGL,Mongolia,Judo,Women -48 kg,1914467
7/27/2024,Bronze Medal,3,BOUKLI Shirine,Female,France,FRA,France,Judo,Women -48 kg,1891280
7/27/2024,Bronze Medal,3,BABULFATH Tara,Female,Sweden,SWE,Sweden,Judo,Women -48 kg,1571911
7/27/2024,Gold Medal,1,MAERTENS Lukas,Male,Germany,GER,Germany,Swimming,Men's 400m Freestyle,1907192
7/27/2024,Silver Medal,2,WINNINGTON Elijah,Male,Australia,AUS,Australia,Swimming,Men's 400m Freestyle,1946172
7/27/2024,Bronze Medal,3,KIM Woomin,Male,Korea,KOR,Korea,Swimming,Men's 400m Freestyle,4654306
7/27/2024,Gold Medal,1,TITMUS Ariarne,Female,Australia,AUS,Australia,Swimming,Women's 400m Freestyle,1946150
7/27/2024,Silver Medal,2,McINTOSH Summer,Female,Canada,CAN,Canada,Swimming,Women's 400m Freestyle,1967140
